state,date,income_mean,income_median
Johor,2022-01-01,8517,6879.0
Kedah,2022-01-01,5550,4402.0
Kelantan,2022-01-01,4885,3614.0
Melaka,2022-01-01,8057,6210.0
Negeri Sembilan,2022-01-01,6788,5226.0
Pahang,2022-01-01,5777,4753.0
Perak,2022-01-01,5779,4494.0
Perlis,2022-01-01,5664,4713.0
Pulau Pinang,2022-01-01,8267,6502.0
Sabah,2022-01-01,6171,4577.0
Sarawak,2022-01-01,6457,4978.0
Selangor,2022-01-01,12233,9983.0
Terengganu,2022-01-01,7248,5878.0
W.P. Kuala Lumpur,2022-01-01,13325,10234.0
W.P. Labuan,2022-01-01,8250,6904.0
W.P. Putrajaya,2022-01-01,13473,10056.0
